videoId,channelId,title,description,publishAt,videoUrl
IaoGOoTNHBc,UC4PpFUrfT2Pou7OwpVF0MUQ,[Mukbang ASMR] 인도네시아🇮🇩 음식 특집!✨ Makanan INDONESIA FOOD with Korea Reomit! Eatingshow Ssoyoung,"The use of such images for profit may result in sanctions. Also, please leave a source when using it for non-profit purposes.",2021-03-04T14:00:05Z,https://www.youtube.com/watch?v=IaoGOoTNHBc
UXoN08-fv1o,UCIafb9ExBkh4WsCOagZssZA,ASMR MUKBANG| 편의점 직접 만든 불닭 떡볶이 치킨 김밥 디저트 먹방 &amp; 레시피 FRIED CHICKEN AND Tteokbokki EATING,먹방 #ASMR #MUKBANG #핑크 #편의점 문의메일 sulgiyang0329@gmail.com 인스타 https://www.instagram.com/sulgiiiii 환경을 ...,2021-10-12T13:30:06Z,https://www.youtube.com/watch?v=UXoN08-fv1o
iXPoIlR1UgI,UCxtLc0Jqq3SKBWlIXM_OC9g,"ASMR PURPLE DESSERTS *GRAPE JELLY, BUBBLE GUM, TANGHULU, MARSHMALLOW, CHOCOLATE EATING SOUNDS 먹방","Black sapphire grape Tanghulu, Steamed purple sweet potato, Rabbit peeps marshmallow, Purple Pepero, Weeny Beeny ...",2020-11-03T12:00:19Z,https://www.youtube.com/watch?v=iXPoIlR1UgI
sCT4uFzTvqE,UCkuYDQQ-WA9DeFpAFyFvLpQ,"ASMR MUKBANG |Makan Aja dulu, Urusan Diet Bisa Besok 😂",,2021-05-24T16:31:29Z,https://www.youtube.com/watch?v=sCT4uFzTvqE
dDEKRl3cyOg,UCEnaoRpbxiSbAhBkuvODGpw,Mukbang Battle: Kim Bok-joo VS Lee Dam 🍗🍚🥘🍜🥯| Best of: Mukbang Faceoff | Netflix Philippines,Kim Bok-joo (Lee Sung-kyoung) and Lee Dam (Lee Hye-ri) face off in the ultimate mukbang battle. Who will bring home the ...,2022-03-24T10:00:12Z,https://www.youtube.com/watch?v=dDEKRl3cyOg
Qs2eKbStIvc,UCALl6UrYtJndCXo2p6hANPQ,ASMR (요리와먹방) 와~ 버섯 종류가 많아요~ 직접 만든 매콤한 소스로 여러가지 버섯을 구워봤어요~ *맛있는 매콤달콤 소스레시피* 리얼사운드 먹방 MUKBANG,"안녕하세요^^ 오늘은 시청자님이 요청하신 모듬 버섯을 준비해봤어요~ 버섯은 팽이버섯, 새송이버섯, 양송이버섯, 목이버섯, 백만송이 ...",2020-05-18T10:57:02Z,https://www.youtube.com/watch?v=Qs2eKbStIvc
TRqJcPfgYxo,UClZAOlfhJQJRym39WoAPxdw,ASMR MUKBANG challenge // The MOST HIGH-CALORIE AMERICAN FAST FOOD (With SUBTITLES),तुम हिन्दी में उपशीर्षक चालू कर सकते हो / Puedes encender los subtitulos en españo ...,2022-07-10T14:37:13Z,https://www.youtube.com/watch?v=TRqJcPfgYxo
6hxl2UgOCxM,UCIq2_p-QKO3jpUg-0m7Jr7g,얼굴만한 크기의 타이거새우 간장새우 양념새우 새우먹방 RAW Shrimp TigerShrimp Soysauce MUKBANG,eating #shrimp #chinesefood #ASMR #새우먹방 Thank you for watching. Stay tuned for more ❤️     Please Remember to ...,2023-02-08T09:00:06Z,https://www.youtube.com/watch?v=6hxl2UgOCxM
qR0YsrplPFA,UCIafb9ExBkh4WsCOagZssZA,ASMR MUKBANG| 편의점 직접 만든 불닭 떡볶이 치킨 김밥 디저트 먹방 &amp; 레시피 FRIED CHICKEN AND Tteokbokki EATING,먹방 #ASMR #MUKBANG #핑크색 #편의점 문의메일 sulgiyang0329@gmail.com 인스타 https://www.instagram.com/sulgiiiii 환경을 ...,2022-05-28T13:30:09Z,https://www.youtube.com/watch?v=qR0YsrplPFA
oWuQu57EAgs,UCIafb9ExBkh4WsCOagZssZA,ASMR MUKBANG| 편의점 직접 만든 불닭 떡볶이 치킨 김밥 디저트 먹방 &amp; 레시피 FRIED CHICKEN AND Tteokbokki EATING,먹방 #ASMR #MUKBANG #핑크 #편의점 문의메일 sulgiyang0329@gmail.com 인스타 https://www.instagram.com/sulgiiiii 환경을 ...,2021-09-03T13:30:19Z,https://www.youtube.com/watch?v=oWuQu57EAgs
43cYA2cYoHY,UCzF4JYxRi8R-figrEefeP1Q,LUPAKAN DIET😅❌️ ASMR OSENG MERCON TETELAN SUPER DUPER ENDUL!🤤🥓,Oseng Mercon : https://shope.ee/6A7O5EVCjZ Es Teh Kundur : https://shope.ee/4UzA7A7tlx Lipstik : https://shp.ee/ebb6ya5 ...,2022-06-27T05:00:00Z,https://www.youtube.com/watch?v=43cYA2cYoHY
APH2NpBov6I,UClwzfHniEiI28fO2M8bEZzQ,"ASMR MUKBANG CILUNG, BILUNG, INDONESIAN STREETFOOD | EATING SOUNDS!!!",Like Comment Subscribe!! Jangan lupa aktifkan lonceng notification ya guys. Instagram: @fuji_an Tiktok: fujiiian business inquiry: ...,2022-08-06T09:31:03Z,https://www.youtube.com/watch?v=APH2NpBov6I
zI-rreRPlPs,UCbta5UYAzeIOQAL7-A4s0WA,ASMR MUKBANG PITBULL EATING RAW FOODS WITH KITTEN,THANK YOU FOR WATCHING THE VIDEO. PLEASE SUBSCRIBE TO THE CHANNEL.,2022-06-09T13:00:19Z,https://www.youtube.com/watch?v=zI-rreRPlPs
YbjgE4ZNKX0,UCRtoqRleHkDQRVgN9OwV6TA,ASMR MUKBANG | 치즈 불닭볶음면 &amp; 치토스 대왕 통 가래떡 튀김 핫도그 딸기 먹방 &amp; 레시피 FIRE NOODLES AND Tteokbokki EATING,오늘은 치토스 리메이크 먹방! 재밌게 봐주세요^^ 시오 구독하기   https://goo.gl/azcgUX 시오 인스타그램   ...,2023-02-07T13:15:02Z,https://www.youtube.com/watch?v=YbjgE4ZNKX0
YiMvrVhhhIk,UCx_7Isnu10jfrlV7m1Fz06A,ASMR MUKBANG | SPICY MUSHROOM FIRE NOODLE CHICKEN SAUSAGE EATING 불닭 버섯 팽이버섯 불닭볶음면 소세지 양념치킨 소스 듬뿍! 먹방,"MUKBANG #MUSHROOM #FIRENOODLE #CHICKEN Hello. Today's menu is spicy mushrooms, spicy chicken, fire noodles and ...",2022-02-17T13:40:00Z,https://www.youtube.com/watch?v=YiMvrVhhhIk
lArqN_zu5tw,UCOBZeasbz1kDUCSuQNUIcaw,TURTLE TORTOISE ASMR EATING FOOD MUKBANG 먹방 🐢83,TURTLE TORTOISE ASMR EATING FOOD MUKBANG 먹방 0:00 Strawberry 0:48 Blueberry 1:44 Pumpkin 2:52 Broccoli Animal ...,2021-03-14T21:00:16Z,https://www.youtube.com/watch?v=lArqN_zu5tw
PoEiv_GIy8Q,UCSFfyR6xTXujXraS4JIaiQw,"MUKBANG TEPUNG JENGKERUT, UNTUK DIET MAK NYUS | ASMR Mukbang","MUKBANG TEPUNG JENGKERUT, UNTUK DIET MAK NYUS | ASMR Mukbang Hai sobat Youtube.perkenalkan nama saya NUR ...",2022-12-04T02:48:07Z,https://www.youtube.com/watch?v=PoEiv_GIy8Q
TrVh6GG1cTo,UCbzI92w5vWa6mEj1dACfy6g,"한국에 없는 한국인이 좋아하는 맛,, 칠리토마토라면 3컵 🍅 소세지 &amp; 감자말이새우 먹방 ASMR MUKBANG | Chili Tomato Cup Ramen Noodles X3","ASMR MUKBANG | Chili Tomato Cup Ramen Noodles X3, Sausages, Deep-Fried Shrimp Wrapped with Potato - 문의메일 / Email ...",2023-02-08T13:00:14Z,https://www.youtube.com/watch?v=TrVh6GG1cTo
oV4hw3OwJso,UCI78AdiI6f7VKhqW1i4B3Rw,ASMR US MILITARY MRE Meal-Ready-to-Eat MUKBANG | Unboxing &amp; Eating (No Talking) Zach Choi ASMR,BUY MY MERCH!: https://silencestudios.com/ ASMR Meal-Ready-to-Eat | MRE UNBOXING & EATING SOUNDS MUKBANG 먹방 ...,2019-02-28T00:27:15Z,https://www.youtube.com/watch?v=oV4hw3OwJso
HFOK-RHimkw,UCI78AdiI6f7VKhqW1i4B3Rw,ASMR RATATOUILLE MUKBANG 먹방 | COOKING &amp; EATING SOUNDS | Zach Choi ASMR,BUY MY MERCH!: https://silencestudios.com/ ASMR RATATOUILLE MUKBANG 먹방 | COOKING & EATING SOUNDS Get G Fuel!,2020-08-25T02:15:26Z,https://www.youtube.com/watch?v=HFOK-RHimkw
D0-P7fSMB_k,UCxtLc0Jqq3SKBWlIXM_OC9g,ASMR SPICY MUSHROOMS MUKBANG(RECIPE) 불닭 마라 버섯모듬 먹방(레시피 포함) WITH FIRE SAUCE NO TALKING EATING SOUNDS,안녕하세요 홍시님들! 오늘은 고추장으로 만든 불닭마라 버섯모듬을 준비했어요~ 매운 맛을 잘 못드시는 분들을 위해 '덜 맵게' 만드는 ...,2019-12-09T11:30:00Z,https://www.youtube.com/watch?v=D0-P7fSMB_k
wk8h1iobCgU,UCPB5FCNjfLiozXYavdKbDTw,Bu Puan ijin makan namanya ya😅🙏🏻 #asmr #mukbang #makansesuaiemoji #makansesuainama #puanmaharani,,2023-02-04T12:25:18Z,https://www.youtube.com/watch?v=wk8h1iobCgU
Isr03aEZSns,UCIq2_p-QKO3jpUg-0m7Jr7g,어마어마한 크기의 타이거새우 홍새우 딱새우 흑새우 간장새우 양념새우 새우먹방 RAW Shrimp TigerShrimp Soysauce MUKBANG,eating #shrimp #chinesefood #ASMR #새우먹방 Thank you for watching. Stay tuned for more ❤️     Please Remember to ...,2023-02-09T09:00:16Z,https://www.youtube.com/watch?v=Isr03aEZSns
_IDi9w94S5I,UCbta5UYAzeIOQAL7-A4s0WA,ASMR MUKBANG DOG EATING RAW WHOLE FISH HORSE EARS,THANK YOU FOR WATCHING THE VIDEO. PLEASE SUBSCRIBE TO THE CHANNEL.,2022-06-22T13:00:14Z,https://www.youtube.com/watch?v=_IDi9w94S5I
GX388Z_ytBA,UCzF4JYxRi8R-figrEefeP1Q,ASMR AYAM GEPREK SAMBEL BAWANG SUPER HOT! | ASMR INDONESIA | NO TALKING,"Dalam video ini, aku makan ayam + nasi + lemon tea dari MOR Convenience Store. KHUSUS JADETABEK bisa order lewat ...",2021-03-20T06:00:07Z,https://www.youtube.com/watch?v=GX388Z_ytBA
FIvrrUXMCjQ,UCdcZhYtGKo8n1VRLgxMe_hA,"(ENG SUB) ASMR COOKING &amp; EATING MUKBANG | ASIAN FOOD, KIMBAP, RAMEN","Hey, this time I wanted to amaze you and try to cook the food that I'll be eating. This will be my first ASMR COOKING & EATING ...",2022-04-07T11:14:41Z,https://www.youtube.com/watch?v=FIvrrUXMCjQ
7o9giuHh1bY,UCIafb9ExBkh4WsCOagZssZA,ASMR MUKBANG| 편의점 직접 만든 불닭 떡볶이 양념치킨 김밥 디저트 먹방 &amp; 레시피 FRIED CHICKEN AND Tteokbokki EATING,먹방 #ASMR #MUKBANG #편의점 #편의점먹방 #매운편의점 문의메일 sulgi506@gmail.com 인스타 ...,2020-08-29T13:45:01Z,https://www.youtube.com/watch?v=7o9giuHh1bY
d4nxyUigt3w,UCbCJmNKAL85O1VFeD6Wj60g,ASMR | 1-week Delicious Bayashi Food #41| MUKBANG | COOKING,"NEW VIDEO, ALMOST EVERYDAY!! SUBSCRIBE ME!!",2022-12-25T12:00:30Z,https://www.youtube.com/watch?v=d4nxyUigt3w
qMKkFAM6pmQ,UCybzQL-nUUIcbobgx6CrvkQ,"ASMR MUKBANG | SPICY MUTTON FAT CURRY, SPICY CHICKEN HYDERABADI EGG KORMA WITH PURI RICE EATING SHOW",Hello everyone Today is a fun and moving mukbang between grandpa and grandson. ASMR MUKBANG | SPICY MUTTON FAT ...,2022-05-15T11:01:03Z,https://www.youtube.com/watch?v=qMKkFAM6pmQ
VI8eRC4wPpk,UCbta5UYAzeIOQAL7-A4s0WA,ASMR Pitbull Eating Raw Foods VenisonSheep kidneyPig tailQuailDuck neck,THANK YOU FOR WATCHING THE VIDEO. PLEASE SUBSCRIBE TO THE CHANNEL. Today's menu Venison Sheep kidney Pig ...,2021-02-27T03:00:18Z,https://www.youtube.com/watch?v=VI8eRC4wPpk
qhkiA7wFoMs,UC2B5onlYkZ7IaVekR9yIB6w,ASMR MUKBANG 편의점 핵불닭 미니!! 떡볶이 &amp; 핫도그 &amp; 치즈 피자 FIRE Noodle &amp; HOT DOG &amp; CHEESE PIZZA EATING SOUND!,먹방 #ASMR #MUKBANG 안녕하세요 맛있는 음식이 가득한 공삼테이블입니다! ✉비지니스 메일 : gongsam203@gmail.com ...,2022-02-26T13:00:21Z,https://www.youtube.com/watch?v=qhkiA7wFoMs
vOYf0ys-8K0,UCIafb9ExBkh4WsCOagZssZA,ASMR MUKBANG| 디저트 초콜릿 &amp; 아이스크림 먹방 &amp; 레시피 CHOCOLATE DESSERT ICE CREAM EATING,초콜릿 #디저트 #먹방 #ASMR #MUKBANG 문의메일 sulgi506@gmail.com 인스타 https://www.instagram.com/sulgiiiii 환경을 위한 ...,2020-06-21T13:45:02Z,https://www.youtube.com/watch?v=vOYf0ys-8K0
AKqxpVadt5Y,UCn4gALAtuc1T-j29LL3i59g,MUKBANG MINUMAN SEGAR DINGIN ASMR TEH PUCUK,follow Tik Tok ku ya guys https://vt.tiktok.com/ZSdBJPa9N/ assalamu alaikum guys cuma mau bilang makasih buat kamu kamu ...,2021-01-02T11:01:29Z,https://www.youtube.com/watch?v=AKqxpVadt5Y
7KI1iJBx5Dk,UC2B5onlYkZ7IaVekR9yIB6w,ASMR MUKBANG 편의점 핵불닭 미니!! 떡볶이 &amp; 핫도그 &amp; 치즈 피자 FIRE Noodle &amp; HOT DOG &amp; CHEESE PIZZA EATING SOUND!,먹방 #ASMR #MUKBANG 안녕하세요 맛있는 음식이 가득한 공삼테이블입니다! ✉비지니스 메일 : gongsam203@gmail.com ...,2022-02-17T13:00:04Z,https://www.youtube.com/watch?v=7KI1iJBx5Dk
ZTZmIgInmrw,UCI78AdiI6f7VKhqW1i4B3Rw,ASMR SPICY INDOMIE MI GORENG MUKBANG (No Talking) COOKING &amp; EATING SOUNDS | Zach Choi ASMR,BUY MY MERCH!: https://silencestudios.com/ ASMR SPICY INDOMIE MI GORENG MUKBANG 먹방 (No Talking) COOKING ...,2020-02-03T03:10:18Z,https://www.youtube.com/watch?v=ZTZmIgInmrw
4qGt4YXmMkI,UCIafb9ExBkh4WsCOagZssZA,ASMR MUKBANG| 직접 만든 불닭볶음면 양념치킨 치즈볼 먹방 &amp; 레시피 FRIED CHICKEN AND FIRE NOODLES EATING,먹방 #ASMR #MUKBANG #불닭 #치즈볼 문의메일 sulgiyang0329@gmail.com 인스타 https://www.instagram.com/sulgiiiii 환경을 ...,2022-02-19T13:30:01Z,https://www.youtube.com/watch?v=4qGt4YXmMkI
cRTEPZqtE4k,UCUTZYyNhJSw1DXzJQltK13Q,KUMPULAN TIKTOK DEBORA MAKAN SESUAI EMOJI #mukbang #asmr,,2022-12-31T10:01:47Z,https://www.youtube.com/watch?v=cRTEPZqtE4k
835CRPhGRqU,UCtMq7I55sZJcvaWac2-z4Sw,ASMR Satisfying Eating Emoji Food Challenge #asmr #challenge #mukbang,"ASMR eating emoji TikTok mashup 2022 food eating challenge. ASMR satisfying eating cute emoji food challenge, BTS gum, jelly ...",2022-07-12T15:12:30Z,https://www.youtube.com/watch?v=835CRPhGRqU
PEsqPX-PWOQ,UCbCJmNKAL85O1VFeD6Wj60g,ASMR | Delicious Bayashi Food #14 | MUKBANG | COOKING,"NEW VIDEO, ALMOST EVERYDAY!! SUBSCRIBE ME!!",2022-10-25T10:02:38Z,https://www.youtube.com/watch?v=PEsqPX-PWOQ
kdst6fEJx28,UCRvngVssn0l2iX0w9KXZJIg,ASMR Makan Sesuai Emoji || BY TIK TOK @zyiza_22❗BACA DEKS ❗,Halo Wellcome To My Youtube Channel - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Makasih Sudah nonton video aku ...,2022-06-24T09:51:00Z,https://www.youtube.com/watch?v=kdst6fEJx28
RZeUR8_Dl2M,UCO5p-c9u1-fi3E6EeRQKJig,MUKBANG SNACK ASMR VIRAL STREET FOOD DI SOSMED KOREA STROBERI CRUNCHY?!?,TikTok: https://www.tiktok.com/@sunnydahye_ IG: https://www.instagram.com/sunnydahye/ ▽❓ Business Inquiries ❓ ▽ E-mail: ...,2022-12-13T10:30:04Z,https://www.youtube.com/watch?v=RZeUR8_Dl2M
0wvmZfQdk24,UCdu4afnRmZsepvhHSdNQHNA,ASMR Eating 11 Different Foods in 1 Minute! #shorts,ASMR Eating 11 Different Foods in 1 Minute! #shorts ▻ AZURA Subscribes: https://bit.ly/AZURA-ASMR ▻ Youtube: ...,2022-07-01T04:00:01Z,https://www.youtube.com/watch?v=0wvmZfQdk24
iHsn5q7TPAI,UCEKVch5YJ772R2T-TGF7MHg,anti-diet sounds✨ #food #lovefood #selfie #foodphoto #eating #mukbang #asmr #aesthetic,,2023-01-16T03:25:43Z,https://www.youtube.com/watch?v=iHsn5q7TPAI
QG4oNjmcpU8,UCkOkRyyTa8HtgxpkN0JcoDw,ASMR 2 hours of Dog Eating Raw Food Mukbang Compilation,DogpileTV dogs making a 2 hour ASMR video of dogs Eating Raw Food Mukbang Compilation! Hope you enjoy the bone ...,2018-02-12T16:31:06Z,https://www.youtube.com/watch?v=QG4oNjmcpU8
MNp0Wb3mOiU,UC1eKuI6onsS0Tp_zbpxHD5w,Mukbang ASMR Spicy food🔥🌶 Indonesian Food🇮🇩 Compilation Mukbang Video,Hallo/Hallo! Saya suka ASMR / I like ASMR♥ Kamu bisa melihat video asli di / You can see the original video On ...,2021-12-26T04:20:16Z,https://www.youtube.com/watch?v=MNp0Wb3mOiU
D-Wy3GOlpYk,UCEIDISSScJtHZ5TQNl68EeQ,ASMR Lalapnya Bikin Gagal Diet🥲 #asmr #mukbang #food #shorts #short #ayambakar,,2023-01-13T01:33:06Z,https://www.youtube.com/watch?v=D-Wy3GOlpYk
opE-bZE_t0E,UCIafb9ExBkh4WsCOagZssZA,ASMR MUKBANG| 편의점 직접 만든 불닭 떡볶이 양념치킨 김밥 디저트 먹방 &amp; 레시피 FRIED CHICKEN AND Tteokbokki EATING,"먹방 #ASMR #MUKBANG #야외먹방 #편의점먹방 합동 방송 및 광고, 협찬 문의는 아래 메일로 연락해주세요 :) 비즈니스메일 ...",2022-11-26T13:30:14Z,https://www.youtube.com/watch?v=opE-bZE_t0E
70bf8ojPwnk,UCZ02Sry3mbB9al4OlfDbk-A,"ARBY&#39;S MUKBANG SPICY ROAST BEEF, TURKEY SWISS, MONTREAL SMOKED MEAT POUTINE, BUFFALO CHICKEN, FRIES",Support the channel and get some cool MERCH!! https://www.bonfire.com/store/the-asmr-bro/ ...,2023-02-07T23:26:20Z,https://www.youtube.com/watch?v=70bf8ojPwnk
SouvcCkKLJ4,UC666C9LIqqKhegz8ROGGuXw,ASMR MEATBALL &amp; BACON &amp; SPRITE DRINK MUKBANG eating with Tom ep 9,ASMR 먹방 ASMR MEATBALL & BACON & SPRITE DRINK MUKBANG eating with Tom ep 9 We are here to entertain you with ...,2021-06-13T13:00:09Z,https://www.youtube.com/watch?v=SouvcCkKLJ4
Wd5fga1RN1A,UCV_Xd3qZfTGs0NmeITlfssA,MUKBANG || Gorengan Pedas! #shorts #short #asmr #mukbang,,2022-09-02T04:45:46Z,https://www.youtube.com/watch?v=Wd5fga1RN1A
50J5npgJvzY,UCxtLc0Jqq3SKBWlIXM_OC9g,"ASMR GALAXY FOODS 갤럭시 먹방 HONEYCOMB, MERMAID TAILS, JELLY NODDLES 벌꿀집, 인어공주, 요술 전구, 먹는컵 EATING SOUNDS","Milky Way Jelly Noodles, Space Storm Magic Bulb, Galaxy Cup Chocolate, Galaxy Candy, Mermaid Tail, Jewelry Jelly, Earth ...",2020-09-22T12:00:03Z,https://www.youtube.com/watch?v=50J5npgJvzY
ZTepD3pfTY8,UCwsFLjczPWiiWBS9_cdSQIQ,자메이카통다리 치킨 피자 먹방ASMR MUKBANG CHEESY PIZZA &amp; SPICY FRIED CHICKEN チーズピザ辛いチキン Gà ไก่ Ayam eating sounds,안녕하세요 교광입니다 오늘도 시청해주셔서 감사합니다   교광instagram   @kgxhwang #자메이카통다리구이#치즈피자#먹방 ...,2020-03-04T12:00:08Z,https://www.youtube.com/watch?v=ZTepD3pfTY8
70bJftshpv8,UCM1kCBeyRPfPN0fz79gyveA,Yummy KFC food emoji eating challenge 😜🍟#asmr #food #shorts,Yummy KFC food emoji eating challenge #asmr #food #shorts.,2022-11-17T17:21:07Z,https://www.youtube.com/watch?v=70bJftshpv8
mrC5-dBEq-A,UCupznaRjB2X0JpI1ubXNBMg,[SHORTS] ASMR BIHUN GORENG GILA SEAFOOD 🔥 #shorts #asmr #mukbang,,2022-09-19T06:09:50Z,https://www.youtube.com/watch?v=mrC5-dBEq-A
ewyFmCWo-8k,UCnBdlBSm61JsWbS7wNBaxzw,"ASMR EDIBLE SHOES, LIPSTICK, JELLO SHOOTER, TANGHULU *PURPLE FOOD* 먹방 EATING SOUNDS MUKBANG","EDIBLE SHOES, LIPSTICK, EDIBLE SYRINGE JELLO SHOOTER, BLACK SAPPHIRE GRAPE TANGHULU, NERD ROPE JELLY, ...",2020-05-03T11:01:00Z,https://www.youtube.com/watch?v=ewyFmCWo-8k
APH2NpBov6I,UClwzfHniEiI28fO2M8bEZzQ,"ASMR MUKBANG CILUNG, BILUNG, INDONESIAN STREETFOOD | EATING SOUNDS!!!",Like Comment Subscribe!! Jangan lupa aktifkan lonceng notification ya guys. Instagram: @fuji_an Tiktok: fujiiian business inquiry: ...,2022-08-06T09:31:03Z,https://www.youtube.com/watch?v=APH2NpBov6I
23BE_XPPWP0,UCR_qZ82epd4tI97gPiEGqnw,cooking Indonesian spicy noodles for mukbang preparation #asmr #mukbang #indonesianfood,noodles_challenge #indonesiannoodles #indonesianfood #mukbang #asmr #asmrmukbang #deliciousfood #asmrvideo ...,2022-12-02T00:00:00Z,https://www.youtube.com/watch?v=23BE_XPPWP0
fR1Bd7u3XwQ,UC0X_E9MU5JpP4s5pCUYeRqw,핫도그 먹방 ASMR,shorts #핫도그 #hotdog #asmr.,2023-02-03T11:11:18Z,https://www.youtube.com/watch?v=fR1Bd7u3XwQ
JaAWuQ3fFSI,UCI78AdiI6f7VKhqW1i4B3Rw,ASMR MUKBANG CHEESY HOT CHEETOS CHICKEN WINGS &amp; ONION RINGS | COOKING &amp; EATING SOUNDS,"Join me on Fanhouse for exclusive content, extra mukbang videos, early access to YouTube videos, custom requests and more!",2022-11-10T03:00:26Z,https://www.youtube.com/watch?v=JaAWuQ3fFSI
Sikhmw_U214,UCx_7Isnu10jfrlV7m1Fz06A,ASMR MUKBANG | BURGERS 🍔 KFC CHICKEN 🍗 FRENCH FRIES 🍟 EATING 햄버거 양념치킨 감자튀김 소스 퐁당! 먹방,"KFC #BURGER #CHICKEN #MUKBANG Hello. Today's menu is Burgers, KFC fried chicken, french fries with chili sauce and ...",2021-09-05T13:40:02Z,https://www.youtube.com/watch?v=Sikhmw_U214
7vKB4LNjt-g,UCIafb9ExBkh4WsCOagZssZA,ASMR MUKBANG| 편의점 직접 만든 불닭 떡볶이 양념치킨 김밥 디저트 먹방 &amp; 레시피 FRIED CHICKEN AND Tteokbokki EATING,"먹방 #ASMR #MUKBANG 문의메일 sulgi506@gmail.com 인스타 https://www.instagram.com/sulgiiiii 환경을 위한 작은 노력, 플라즈 ...",2020-05-26T14:01:20Z,https://www.youtube.com/watch?v=7vKB4LNjt-g
-XyYG3_BEUM,UC_KM2VHH4SafbvKzZsXBhqg,What is your favorite color of the rainbow?😘🌈【ASMR | MUKBANG】#shorts,"shorts #shortvideo Please like, ❤Subscribe for more videos! All videos are edited & commented by me! ☆ credits ☆Creators from ...",2023-02-04T06:19:01Z,https://www.youtube.com/watch?v=-XyYG3_BEUM
N5UzF3JfGwI,UC6huXz0F6-7KA7-mW0jdejA,I FINISHED Every Cheesecake On The Cheesecake Factory Menu,"There's over 30 different cheesecakes on the Cheesecake Factory Menu. In this video, I attempt to take down every single one of ...",2023-02-05T20:00:11Z,https://www.youtube.com/watch?v=N5UzF3JfGwI
